title,location,company,salary,experience(in yrs),description,keywords,trending,sponsored
Hiring For Chief Analytics Officer (data Analyst/data Scientist),Noida,ADINIO SERVICES PRIVATE LIMITED,Not disclosed,8,"Preferably, worked with customer analytics and having experience of app-based ecosystem...",pythondata analysisdata analyticsdata managementdata miningmachine learningbusiness intelligenceStatistics,1,0
Data Analyst / Data Scientist,Vapi,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
Data Analyst / Data Scientist,Mumbai,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
Data Analyst / Data Scientist,Hyderabad,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
Data Scientist,Bengaluru,Kennametal India,Not disclosed,3,Responsibilities Identify high ROI use cases for Data Analytics and Machine Learning th...,Computer sciencePlant managementAerospaceNeural networksSocial mediaMachine learningData collectionData analytics,0,0
Data Scientist,Pune,Rolls Royce India Private Ltd.,Not disclosed,1,"10+ years of practical (industrial) experience in data science, analytics, generic algo...",Data ScienceAlgorithm DevelopmentBig Data AnalyticsDockerHadoopSCALASparkMachine Learning,0,0
Junior Data Scientist,Bengaluru,Snaphunt,Not disclosed,1,"You possess a Degree / Masters from a top-tier institute, ideally in Computer Science, ...",Data SciencePredictive ModelingRAlgorithmsNeural NetworksTime SeriesMachine LearningStatistics,0,1
Data Scientist - Machine & Deep Learning,Bengaluru,Connexions,Not disclosed,2,"Job Description : - We have millions of active monthly visitors, we have access to a hu...",Data ScienceNLPData ScientistBig DataData MiningData ModelingMachine LearningDeep Learning,0,1
Data Scientist - Machine & Deep Learning,Bengaluru,Connexions,Not disclosed,2,Experience of building / deploying models and maintaining them in production Bachelor o...,Data ScienceTensorflowNLPData ScientistData MiningData AnalyticsMachine LearningDeep Learning,0,1
Principal Data Scientist,Bengaluru,GO-JEK,Not disclosed,8,Principal Data Scientist will architect and drive technical excellence in GoFood Search...,Design engineeringdata scienceDiversity and InclusionMachine learningManager TechnologyInfrastructureMentorProduct design,0,0
Data Scientist - Manufacturer of High Quality Storage Products,Mumbai,NewAge Products Inc,Not disclosed,5,Work closely with sales operations and digital implementation teams to identify opportu...,pythonpredictive modelingneural networksbusiness solutionsproduct data managementclusteringmachine learninginventory management,0,1
Professional - Data Scientist,Hyderabad,Sutherland Global Services Inc,Not disclosed,2,"Strong understanding of techniques: Such as Continuous Integration, Continuous Delivery...",BPOBusiness processAutomationHealthcareStored proceduresOracleMS OfficeData mining,0,0
Data Scientist,Hyderabad,Fractal Enterprises LLP,Not disclosed,5,"Hands on Experience with databases (Oracle, HANA, SQL Server, Teradata, RedShift, Netez...",time series analysispythonpandalinguisticsmachine learningmultivariate analysisartificial intelligencereinforcement learning,1,0
Looking For Data Scientist (nlp) For Noida SEZ,Noida,EXL Services.com ( I ) Pvt. Ltd.,Not disclosed,4,Production level coding experience in Python / Java is requiredExperience with Natural ...,JavaNLPAlgorithmsText AnalyticsNatural Language ProcessingInformation RetrievalText MiningMachine Learning,1,0
Engineer - Data Scientist/ Machine Learning - Fintech,Bengaluru,Connexions,Not disclosed,2,"Bachelors or Masters degree in Computer Science, Statistics, Operational Research, Math...",Data ScienceCredit UnderwritingFinanceBankingCredit RiskData MiningCredit AssessmentMachine Learning,1,1
Statistical Modeler - Data Scientist,Delhi,Citius IT Solutions Pvt Ltd,Not disclosed,4,Strong experience in leading teams for Data Analytics and Statistical modeling Strong e...,Logistic regressionData analysisTeam managementProject managementAnalyticalConsultingSPSSRegression analysis,0,0
