index,title,location,company,salary,experience(in yrs),description,keywords,trending,sponsored
0,Hiring For Chief Analytics Officer (data Analyst/data Scientist),Noida,ADINIO SERVICES PRIVATE LIMITED,Not disclosed,8,"Preferably, worked with customer analytics and having experience of app-based ecosystem...",pythondata analysisdata analyticsdata managementdata miningmachine learningbusiness intelligenceStatistics,1,0
1,Data Analyst / Data Scientist,Vapi,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
2,Data Analyst / Data Scientist,Mumbai,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
3,Data Analyst / Data Scientist,Hyderabad,Express Roadways Private Limited,"2,50,000 - 4,50,000 PA.",1,Prior experience and expertise in big data analysis,Data ScienceOperations ResearchData AnalysisBig Data,1,0
4,Data Scientist,Bengaluru,Kennametal India,Not disclosed,3,Responsibilities Identify high ROI use cases for Data Analytics and Machine Learning th...,Computer sciencePlant managementAerospaceNeural networksSocial mediaMachine learningData collectionData analytics,0,0
5,Data Scientist,Pune,Rolls Royce India Private Ltd.,Not disclosed,1,"10+ years of practical (industrial) experience in data science, analytics, generic algo...",Data ScienceAlgorithm DevelopmentBig Data AnalyticsDockerHadoopSCALASparkMachine Learning,0,0
6,Principal Data Scientist,Bengaluru,GO-JEK,Not disclosed,8,Principal Data Scientist will architect and drive technical excellence in GoFood Search...,Design engineeringdata scienceDiversity and InclusionMachine learningManager TechnologyInfrastructureMentorProduct design,0,0
7,Professional - Data Scientist,Hyderabad,Sutherland Global Services Inc,Not disclosed,2,"Strong understanding of techniques: Such as Continuous Integration, Continuous Delivery...",BPOBusiness processAutomationHealthcareStored proceduresOracleMS OfficeData mining,0,0
8,Data Scientist,Hyderabad,Fractal Enterprises LLP,Not disclosed,5,"Hands on Experience with databases (Oracle, HANA, SQL Server, Teradata, RedShift, Netez...",time series analysispythonpandalinguisticsmachine learningmultivariate analysisartificial intelligencereinforcement learning,1,0
9,Looking For Data Scientist (nlp) For Noida SEZ,Noida,EXL Services.com ( I ) Pvt. Ltd.,Not disclosed,4,Production level coding experience in Python / Java is requiredExperience with Natural ...,JavaNLPAlgorithmsText AnalyticsNatural Language ProcessingInformation RetrievalText MiningMachine Learning,1,0
10,Engineer - Data Scientist/ Machine Learning - Fintech,Bengaluru,Connexions,Not disclosed,2,"Bachelors or Masters degree in Computer Science, Statistics, Operational Research, Math...",Data ScienceCredit UnderwritingFinanceBankingCredit RiskData MiningCredit AssessmentMachine Learning,1,1
11,Statistical Modeler - Data Scientist,Delhi,Citius IT Solutions Pvt Ltd,Not disclosed,4,Strong experience in leading teams for Data Analytics and Statistical modeling Strong e...,Logistic regressionData analysisTeam managementProject managementAnalyticalConsultingSPSSRegression analysis,0,0
