company,title,city,exp
Kennametal India,Data Scientist,Bengaluru,3
Snaphunt,Data Scientist,Bengaluru,3
Zyoin Web Pvt.Ltd,Data Scientist,Bengaluru,2
Mindtree Limited,Data Scientist,Bengaluru,7
GO-JEK,Principal Data Scientist,Bengaluru,8
Catalyst,Data Scientist - Python/r,Bengaluru,2
Recrutist,Data Scientist - Insurance,Bengaluru,2
MMS Holdings Inc.,Senior Data Scientist,Bengaluru,1
Fractal Analytics Ltd,Senior Data Scientist,Bengaluru,5
Crediwatch,Lead Data Scientist,Bengaluru,7
Neustar MarketShare,Sr Data Scientist - DNA,Bengaluru,2
